rank,candidate_id,title,yoe,proposed_tier,gold_tier,notes
1,CAND_0077337,Staff Machine Learning Engineer,7.0,5,5,
2,CAND_0005649,Senior Data Scientist,7.4,5,5,
3,CAND_0028793,Search Engineer,7.2,5,5,
4,CAND_0042029,Senior Data Scientist,6.5,5,5,
5,CAND_0075249,Applied ML Engineer,6.2,5,5,
6,CAND_0069905,Applied ML Engineer,6.6,5,5,
7,CAND_0010257,Senior Data Scientist,6.5,5,5,
8,CAND_0000031,Recommendation Systems Engineer,6.0,4,4,
9,CAND_0074735,Applied ML Engineer,5.5,4,4,
10,CAND_0083852,Data Scientist,6.0,5,2,Forecasting/CV concerns — floored for submission
11,CAND_0081053,NLP Engineer,5.4,4,4,
12,CAND_0052328,Recommendation Systems Engineer,6.5,5,5,
13,CAND_0094056,NLP Engineer,5.9,4,4,
14,CAND_0074225,Machine Learning Engineer,4.3,4,4,
15,CAND_0053591,AI Engineer,5.3,4,4,
16,CAND_0006418,Machine Learning Engineer,5.7,4,4,
17,CAND_0081852,Senior Data Scientist,5.9,4,4,
18,CAND_0099806,AI Engineer,4.6,4,4,
19,CAND_0096172,NLP Engineer,5.2,4,4,
20,CAND_0020708,Search Engineer,4.2,4,4,
21,CAND_0030468,Senior Applied Scientist,5.4,4,4,
22,CAND_0089552,Machine Learning Engineer,6.0,5,5,
23,CAND_0098454,AI Specialist,6.6,5,5,
24,CAND_0096142,Applied ML Engineer,5.0,4,4,
25,CAND_0033861,Senior NLP Engineer,8.0,5,5,
26,CAND_0064904,AI Engineer,4.9,4,4,
27,CAND_0004972,ML Engineer,6.0,5,5,
28,CAND_0076251,Search Engineer,7.6,4,4,
29,CAND_0068811,Applied ML Engineer,8.0,4,4,
30,CAND_0060054,AI Engineer,6.4,3,3,
31,CAND_0007411,Senior Machine Learning Engineer,8.0,5,5,
32,CAND_0010603,ML Engineer,5.3,4,4,
33,CAND_0006567,Senior AI Engineer,7.9,4,4,
34,CAND_0033911,Data Scientist,6.9,5,5,
35,CAND_0067866,Senior Software Engineer (ML),6.4,4,4,
36,CAND_0057701,Recommendation Systems Engineer,4.1,4,4,
37,CAND_0060835,Senior Software Engineer (ML),6.6,5,5,
38,CAND_0075439,Machine Learning Engineer,4.3,4,4,
39,CAND_0042506,Search Engineer,4.2,4,4,
40,CAND_0036121,ML Engineer,5.2,4,4,
41,CAND_0061339,Search Engineer,4.2,4,4,
42,CAND_0049978,Senior Software Engineer (ML),6.6,4,4,
43,CAND_0095528,Senior Data Scientist,5.3,4,4,
44,CAND_0044883,AI Engineer,6.3,3,3,
45,CAND_0026532,Recommendation Systems Engineer,4.8,4,4,
46,CAND_0043860,Junior ML Engineer,6.1,4,4,
47,CAND_0001056,Computer Vision Engineer,5.1,4,4,
48,CAND_0060072,Staff Machine Learning Engineer,5.7,4,4,
49,CAND_0008239,AI Engineer,4.0,4,4,
50,CAND_0058575,AI Engineer,5.8,3,3,
51,CAND_0081846,Lead AI Engineer,6.7,2,2,Real fake — 50M queries for internal recruiter tool
52,CAND_0094759,Machine Learning Engineer,5.2,2,2,Recruiting task at CV/LLM company (domain mismatch)
53,CAND_0016163,Data Scientist,6.4,2,2,Same churn model at Dream11 and Amazon
54,CAND_0070398,ML Engineer,5.9,2,2,Same 500K-doc KB at Uber and Genpact
55,CAND_0005260,AI Engineer,6.5,4,4,False positive — fine-tuning LLaMA-2 at Yellow.ai is coherent
